knob	arm	value	seed	horizon	players	expansion	growth	production	warfare	politics
survey_vehicles	lo	5.4000000000	1	1500	3	2494450.0000	1145417.5000	1366633.0000	0.0000	2494450.0000
survey_vehicles	hi	6.6000000000	7	1500	3	2525075.0000	1013830.0000	1312654.0000	-0.0000	2525075.0000
survey_vehicles	lo	5.4000000000	7	1500	3	2553400.0000	1047267.5000	1355752.0000	-0.0000	2553400.0000
survey_vehicles	hi	6.6000000000	42	1500	3	2565825.0000	1109722.5000	1415185.0000	0.0000	2565825.0000
survey_vehicles	lo	5.4000000000	42	1500	3	2557750.0000	1282712.5000	1444699.0000	0.0000	2557750.0000
survey_vehicles	hi	6.6000000000	31337	1500	3	2680075.0000	1044022.5000	1312505.0000	0.0000	2680075.0000
survey_vehicles	lo	5.4000000000	31337	1500	3	2681475.0000	1062305.0000	1318619.0000	0.0000	2681475.0000
survey_reserve	hi	1126.4000000000	1	1500	3	2507775.0000	1211717.5000	1372697.0000	0.0000	2507775.0000
survey_reserve	lo	921.6000000000	1	1500	3	2496000.0000	1227027.5000	1389240.5000	0.0000	2496000.0000
survey_reserve	hi	1126.4000000000	7	1500	3	2632325.0000	875685.0000	1371740.0000	-0.0000	2632325.0000
survey_reserve	lo	921.6000000000	7	1500	3	2614650.0000	947535.0000	1373611.5000	-0.0000	2614650.0000
survey_reserve	hi	1126.4000000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
survey_reserve	lo	921.6000000000	42	1500	3	2578525.0000	1194417.5000	1389454.5000	0.0000	2578525.0000
survey_reserve	hi	1126.4000000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
survey_reserve	lo	921.6000000000	31337	1500	3	2664575.0000	1111947.5000	1345706.0000	0.0000	2664575.0000
max_survey_hops	hi	132.0000000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
max_survey_hops	lo	108.0000000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
max_survey_hops	hi	132.0000000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
max_survey_hops	lo	108.0000000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
max_survey_hops	hi	132.0000000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
max_survey_hops	lo	108.0000000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
max_survey_hops	hi	132.0000000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
max_survey_hops	lo	108.0000000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
